Source,id,idstr,class,screen_name,name,province,city,location,description,url,profile_image_url,profile_url,domain,weihao,gender,followers_count,friends_count,statuses_count,private_friends_count,pagefriends_count,favourites_count,created_at,following,allow_all_act_msg,geo_enabled,verified,verified_type,remark,insecurity/sexual_content,ptype,allow_all_comment,avatar_large,avatar_hd,verified_reason,verified_trade,verified_reason_url,verified_source,verified_source_url,follow_me,like,like_me,online_status,bi_followers_count,lang,star,mbtype,mbrank,block_word,block_app,credit_score,user_ability,urank,story_read_state,vclub_member,cover_image,cover_image_phone,verified_state,verified_level,verified_type_ext,pay_remind,pay_date,has_service_tel,verified_reason_modified,verified_contact_name,verified_contact_email,verified_contact_mobile
O,1685279177,1685279177,1,澳尔滨_774,澳尔滨_774,62,1000,甘肃,,,http://tvax2.sinaimg.cn/default/images/default_avatar_female_50.gif,albion,albion,,f,44,23,23,0,0,0,Fri Jan 22 14:56:24 +0800 2010,false,false,true,false,-1,,false,0,true,http://tvax2.sinaimg.cn/default/images/default_avatar_female_180.gif,http://tvax2.sinaimg.cn/default/images/default_avatar_female_180.gif,,,,,,false,false,false,0,2,zh-cn,0,0,0,0,0,80,0,2,-1,0,,,,,,,,,,,,
O,1745068231,1745068231,1,碧欧泉Biotherm,碧欧泉Biotherm,31,6,上海 静安区,,http://www.biothermlife.com.cn/Index.aspx,http://tvax3.sinaimg.cn/crop.2.4.241.241.50/6803a0c7ly8fpih668952j206y06yt8q.jpg,biotherm,biotherm,,f,237347,539,8116,0,0,164,Sat May 22 01:35:41 +0800 2010,false,true,false,true,2,,false,0,true,http://tvax3.sinaimg.cn/crop.2.4.241.241.180/6803a0c7ly8fpih668952j206y06yt8q.jpg,http://tvax3.sinaimg.cn/crop.2.4.241.241.1024/6803a0c7ly8fpih668952j206y06yt8q.jpg,,,,,,false,false,false,0,446,zh-cn,0,11,5,0,1,80,263172,40,-1,0,http://wx2.sinaimg.cn/crop.0.0.920.300/6803a0c7ly1fqwze77utij20pk08c7fv.jpg,http://wx4.sinaimg.cn/crop.0.0.640.640.640/6803a0c7gy1fr1yf5umo7j20yi0yijw0.jpg,0,3,0,4,20170707,false,,碧欧泉客户服务专线,,400-820-5215
O,1684832145,1684832145,1,法国娇韵诗,法国娇韵诗,400,1000,海外,,http://cn.clarins.com,http://tva4.sinaimg.cn/crop.0.0.180.180.50/646c7f91jw1e8qgp5bmzyj2050050aa8.jpg,clarins,clarins,,f,692154,178,9782,0,0,382,Thu Jan 21 13:28:44 +0800 2010,false,true,true,true,2,,false,0,true,http://tva4.sinaimg.cn/crop.0.0.180.180.180/646c7f91jw1e8qgp5bmzyj2050050aa8.jpg,http://tva4.sinaimg.cn/crop.0.0.180.180.1024/646c7f91jw1e8qgp5bmzyj2050050aa8.jpg,,,,,,false,false,false,0,103,zh-cn,0,12,3,0,1,80,2359298,39,-1,0,http://wx1.sinaimg.cn/crop.0.0.920.300/646c7f91gy1foyb9b1uzcj20pk08c446.jpg,http://wx4.sinaimg.cn/crop.0.0.640.640.640/646c7f91gy1foyjeau2ytj20yi0yiac6.jpg,0,3,50,0,20171205,false,,客服热线周一至周五,,400-620-6618
O,1689210504,1689210504,1,Clinique倩碧,Clinique倩碧,31,1000,上海,,http://www.clinique.com.cn,http://tvax2.sinaimg.cn/crop.0.0.480.480.50/64af4e88ly8fpuyuyhatfj20dc0dcglx.jpg,cliniqueu,cliniqueu,,f,407221,119,11162,1,0,679,Wed Feb 03 14:52:01 +0800 2010,false,true,true,true,2,,false,0,true,http://tvax2.sinaimg.cn/crop.0.0.480.480.180/64af4e88ly8fpuyuyhatfj20dc0dcglx.jpg,http://tvax2.sinaimg.cn/crop.0.0.480.480.1024/64af4e88ly8fpuyuyhatfj20dc0dcglx.jpg,,,,,,false,false,false,0,44,zh-cn,0,0,0,0,0,80,512,39,-1,0,http://wx1.sinaimg.cn/crop.0.0.920.300/64af4e88gy1fpuyvcet3ij20pk08c7cn.jpg,http://wx3.sinaimg.cn/crop.0.0.640.640.640/64af4e88ly1fpuzlizmm2j20yi0yiq9l.jpg,0,3,50,0,20180510,false,,,,
O,1793598474,1793598474,1,雅诗兰黛,雅诗兰黛,31,1000,上海,,http://www.esteelauder.com.cn,http://tva4.sinaimg.cn/crop.2.2.497.497.50/6ae8240ajw8f8ng3qvislj20dw0dw3z9.jpg,esteelauder,esteelauder,,f,924287,149,7291,0,0,734,Mon Aug 16 17:22:39 +0800 2010,false,true,true,true,2,,false,0,true,http://tva4.sinaimg.cn/crop.2.2.497.497.180/6ae8240ajw8f8ng3qvislj20dw0dw3z9.jpg,http://tva4.sinaimg.cn/crop.2.2.497.497.1024/6ae8240ajw8f8ng3qvislj20dw0dw3z9.jpg,,,,,,false,false,false,0,14,zh-cn,0,12,2,0,1,80,2359812,42,-1,0,http://wx4.sinaimg.cn/crop.0.0.920.300/6ae8240agy1fqy97bi2p8j20pk08cgw2.jpg,http://wx2.sinaimg.cn/crop.0.0.640.640.640/6ae8240agy1fqy9a37yihj20ku0kuq46.jpg,0,3,0,0,20170731,false,,,,
O,1926574040,1926574040,1,kiehlschina,kiehlschina,31,18,上海 青浦区,,,http://tvax1.sinaimg.cn/default/images/default_avatar_female_50.gif,u/1926574040,,,f,400,60,1,0,0,0,Thu Feb 10 08:47:43 +0800 2011,false,false,true,false,-1,,false,0,true,http://tvax1.sinaimg.cn/default/images/default_avatar_female_180.gif,http://tvax1.sinaimg.cn/default/images/default_avatar_female_180.gif,,,,,,false,false,false,0,0,zh-cn,0,0,0,0,0,80,0,2,-1,0,,,,,,,,,,,,
O,1689520375,1689520375,1,LAMER海蓝之谜,LAMER海蓝之谜,31,1000,上海,,http://www.lamer.com.cn,http://tva4.sinaimg.cn/crop.0.0.399.399.50/64b408f7gw1ehckq931m4j20b40b4aac.jpg,lamerchina,lamerchina,,f,334896,35,8462,0,0,21,Thu Feb 04 11:11:13 +0800 2010,false,false,false,true,2,,false,0,true,http://tva4.sinaimg.cn/crop.0.0.399.399.180/64b408f7gw1ehckq931m4j20b40b4aac.jpg,http://tva4.sinaimg.cn/crop.0.0.399.399.1024/64b408f7gw1ehckq931m4j20b40b4aac.jpg,,,,,,false,false,false,0,4,zh-cn,0,2,4,0,0,80,0,41,-1,0,http://wx1.sinaimg.cn/crop.0.0.920.300/64b408f7gy1fqxxw5dbl6j20pk08cgqv.jpg,http://wx2.sinaimg.cn/crop.0.0.640.640.640/64b408f7ly1fqxyk5vg8oj20v90v9dgu.jpg,0,3,0,4,20170627,false,,客服,,800-820-2036
O,1742666164,1742666164,1,兰蔻LANCOME,兰蔻LANCOME,31,1000,上海,,http://www.rosebeauty.com.cn,http://tvax3.sinaimg.cn/crop.14.8.279.279.50/67def9b4ly8fkcxni8665j208c08cjrg.jpg,lancome,lancome,,f,1405485,198,8183,0,0,48,Sun May 16 19:27:24 +0800 2010,false,true,true,true,2,,false,0,true,http://tvax3.sinaimg.cn/crop.14.8.279.279.180/67def9b4ly8fkcxni8665j208c08cjrg.jpg,http://tvax3.sinaimg.cn/crop.14.8.279.279.1024/67def9b4ly8fkcxni8665j208c08cjrg.jpg,,,,,,false,false,false,0,49,zh-cn,0,2,4,0,0,80,3407876,43,-1,0,http://wx4.sinaimg.cn/crop.0.0.920.300/67def9b4gy1fr488fjxhvj20pk08c42i.jpg,http://wx4.sinaimg.cn/crop.0.0.640.640.640/67def9b4ly1fr49tu6frfj20e80e8aap.jpg,0,3,0,0,20170807,false,,,,
O,1914132991,1914132991,1,SHISEIDO资生堂官方微博,SHISEIDO资生堂官方微博,31,1000,上海,,http://www.shiseidochina.com/,http://tvax2.sinaimg.cn/crop.0.0.400.400.50/721759ffly8fq8oe70odwj20b40b4ta2.jpg,shiseidocn,shiseidocn,,f,513739,97,8211,0,0,2072,Fri Jan 07 14:13:27 +0800 2011,false,true,true,true,2,,false,0,true,http://tvax2.sinaimg.cn/crop.0.0.400.400.180/721759ffly8fq8oe70odwj20b40b4ta2.jpg,http://tvax2.sinaimg.cn/crop.0.0.400.400.1024/721759ffly8fq8oe70odwj20b40b4ta2.jpg,,,,,,false,false,false,0,25,zh-cn,0,11,2,0,1,80,2359300,41,-1,0,http://wx1.sinaimg.cn/crop.0.0.920.300/721759ffgy1fqrdedlphhj20pk08cjyn.jpg,http://wx1.sinaimg.cn/crop.0.0.640.640.640/721759ffgy1fqreqiu6o9j20u00u0k3b.jpg,0,3,50,0,20180103,false,,消费者服务,,400-821-6076
O,2002262597,2002262597,1,雪花秀Sulwhasoo,雪花秀Sulwhasoo,31,1000,上海,,http://www.sulwhasoo.com,http://tva2.sinaimg.cn/crop.0.0.120.120.50/77581a45jw8f1qmnncjuxj203d03ddft.jpg,sulwhasoochina,sulwhasoochina,,f,290360,38,10263,0,0,8,Wed Mar 02 18:45:05 +0800 2011,false,true,true,true,2,,false,0,true,http://tva2.sinaimg.cn/crop.0.0.120.120.180/77581a45jw8f1qmnncjuxj203d03ddft.jpg,http://tva2.sinaimg.cn/crop.0.0.120.120.1024/77581a45jw8f1qmnncjuxj203d03ddft.jpg,,,,,,false,false,false,0,8,zh-cn,0,2,4,0,0,80,4,42,-1,0,http://wx1.sinaimg.cn/crop.0.0.920.300/77581a45gy1fqq89yhqhtj20pk08calj.jpg,http://wx2.sinaimg.cn/crop.0.0.640.640.640/77581a45ly1fqq8lpti63j20v90v9whp.jpg,0,3,50,0,20180116,false,,,,
