Master Key,Dataset Key,Segment Type,Channel,Hashtag,Handle,Post Content,Retweets,Replies,Likes,Post Time,Post Url,Handle Image Url
11,1,Consumer,Weibo,['#香奈儿早春度假系列#'],William威廉陈伟霆,這幾天在糾結，如果我買了一艘船，起什么名字好呢？急，在綫等#香奈儿早春度假系列# ​​​​,289707,40413,201748,2018-05-04 19:50,https://www.weibo.com/1712570933/Gf7CN1X1w?from=page_1005051303910221_profile&wvr=6&mod=weibotime,
11,2,Consumer,Weibo,[],贾乃亮,今晚见！ ​​​​,17850,16272,252270,2018-05-07 16:43,https://www.weibo.com/1214435497/GfyGlcGEs?from=page_1005051240375710_profile&wvr=6&mod=weibotime,
11,3,Consumer,Weibo,[],谢娜,今天是个好日子，我走进了最高学府之一清华大学，在这里实现了自己一个小小的心愿，此次由 @娜样NAYOUNG 品牌和清华大学起航基地艺术与科技创新(ATI)平台联合创立“清华大学娜样创意起航计划”，这个计划是延续娜样品牌支持培养人才的精神和宗旨，为新锐设计师及有创意的年轻人搭建的国际化创新平 ​​​​...展开全文c,10222,5307,265906,2018-05-05 16:45,https://www.weibo.com/1192329374/GffPZ7dqK?from=page_1003061617902267_profile&wvr=6&mod=weibotime,
11,4,KOL,Weibo,['#南部档案#'],南派三叔,一不小心已经5月了，#南部档案#实在来不及更新，大家下个月直接看漫画好了。顺便端午节将至，南派泛娱联合五味和、西泠印社一起做了粽子。在这里请大家吃粽子。转发本条微博，一周后抽10位粉丝，每人端午节前送一个粽子礼包。今天公举号也有粽子福利，大家可以去看看。@微博抽奖平台 ​​​​,76803,42913,61760,2018-05-04 20:00,https://www.weibo.com/1237869662/Gf7GHkBFl?from=page_1035051237869662_profile&wvr=6&mod=weibotime,
11,5,Consumer,Weibo,[],刘雯,9️⃣ ​​​​,13234,7759,156066,2018-05-08 13:16,https://www.weibo.com/1280761142/GfGKxpWXb?from=page_1005053129516717_profile&wvr=6&mod=weibotime,
11,6,KOL,Weibo,['#天天向上#'],南派三叔,非常荣幸可以担任共青团中央新兴青年群体“筑梦计划”的梦想导师，参与“天天向上”五四特别节目的录制。全程都非常欢乐和感动，认识了许多新朋友，今晚十点不见不散～//@天天向上:#天天向上# 和@共青团中央 一起，筑梦青春，天天向上！💪🏻,63735,32225,50153,2018-05-06 17:58,https://www.weibo.com/1237869662/GfpK70par?from=page_1035051237869662_profile&wvr=6&mod=weibotime,
11,7,Consumer,Weibo,[],星闻揭秘,易烊千玺专访：易燃装置这个名字本来是千玺要给自己儿子起的千玺：其实这个是非常巧的，因为我跳的这段就是韩宇今天个人作品的一段开头，因为我其实最开始是想参与进来一块帮跳的，然后节目组不允许，但是我还是学了Q：什么时候学的?千玺：前半段是那天训练营的时候韩宇教我的，后半段是补妆 ​​​​...展开全文c,43085,15530,82625,2018-05-05 21:56,https://www.weibo.com/5103645868/GfhSdcjP2?from=page_1005051802267337_profile&wvr=6&mod=weibotime,
11,8,KOL,Weibo,"['#时尚芭莎6月上#', '#时尚芭莎×电影她杀#']",时尚芭莎,#时尚芭莎6月上# #时尚芭莎×电影她杀# 电影杀青×阵容大片曝光，曹保平导演携@范冰冰 、黄轩@黄轩的微博 、王子文@王子文Olivia 、@辛芷蕾 和@李沁 ，为我们带来了“灼心系列”第二部《她杀》。BAZAAR独家走进剧组，首度披露豪华阵容，用影像和独家文字讲述“这个从青春校园诗意年华开始，不同人生境遇 ​​​​...展开全文c,111553,2529,3699,2018-05-09 09:01,https://www.weibo.com/1708288824/GfOvtsrhd?from=page_1002061708288824_profile&wvr=6&mod=weibotime,
11,9,KOL,Weibo,['#COSMO星光#'],时尚COSMO,#COSMO星光# 近日，“NINE PERCENT”FAN MEETING TOUR-THX with LOVE-全球首演在上海举行。接连两天的两场见面会上，从火热唱跳到走心talking，再到活力游戏，由蔡徐坤、陈立农、范丞丞、Justin、林彦俊、朱正廷、王子异、小鬼、尤长靖九人组成的NINE PERCENT，完成了他们从综艺舞台到万人Live现场的“ ​​​​...展开全文c,103830,10857,2456,2018-05-07 14:15,https://www.weibo.com/1518966617/GfxI9oMtK?from=page_1002061518966617_profile&wvr=6&mod=weibotime,
11,10,KOL,Weibo,[],colouration,hani 业务能力太强了！！！我一个女的根本把持不住！！！！ Lcolouration的秒拍视频 ​​​​,41928,16599,57732,2018-05-07 15:13,https://www.weibo.com/5998187176/Gfy5LhsrP?from=page_1005055998187176_profile&wvr=6&mod=weibotime,
11,11,Consumer,Weibo,[],稀土部队,纪念一下我们的日子 ​​​​,2952,2958,92062,2018-05-10 18:21,https://www.weibo.com/1914100420/Gg1Bq4P3g?from=page_1005052685093793_profile&wvr=6&mod=weibotime,
11,12,KOL,Weibo,[],帅你一脸毛蛋,"置顶
                                                                                                    好久没有掏心窝地感谢大家了！因为大家的陪伴、支持、理解和包容，蛋阿姨一路走到现在，没想到我的蛋蛋family又添了这么多成员！给新来的蛋仔们自我介绍一下~我是毛蛋，黑黄皮一枚，肤质夏天混油/冬天混干，坐标济南。我最喜欢挖掘高性价比彩妆，我相信变美的成本并不高，我期待国货 ​​​​...展开全文c",46948,21626,18272,2018-05-05 16:10,https://www.weibo.com/2263913525/GffBDnkfC?from=page_1005052263913525_profile&wvr=6&mod=weibotime,
11,13,KOL,Weibo,['#COSMO星光#'],时尚COSMO,#COSMO星光# 【NINE PERCENT 上海彩排】NINE PERCENT 出道后首场演出终于来了！为了在全民制作人面前呈现最佳状态， @蔡徐坤 、陈立农 @超级農農 、@范丞丞Adam0616 、@jjjustin0219 、@林彦俊 、@THEO-朱正廷 、@王子异 、@小鬼-王琳凯 、@尤长靖 九位NINE PERCENT成员从筹备期开始每天都会严格控制饮 ​​​​...展开全文c,70529,12248,2539,2018-05-05 16:48,https://www.weibo.com/1518966617/GffRq3mRE?from=page_1002061518966617_profile&wvr=6&mod=weibotime,
11,14,KOL,Weibo,"['#vogue星动态#', '#NINEPERCENT#']",VogueMe,#vogue星动态# 近日，“NINE PERCENT”FAN MEETING TOUR-THX with LOVE-全球首演在上海举行👏接连两天的两场见面会上，从火热唱跳到走心talking，再到活力游戏，由蔡徐坤、陈立农、范丞丞、Justin、林彦俊、朱正廷、王子异、小鬼、尤长靖九人组成的#NINEPERCENT#，完成了他们从综艺舞台到万人Live现 ​​​​...展开全文c,69338,9407,1219,2018-05-07 14:15,https://www.weibo.com/5861669187/GfxIcoeWc?from=page_1002065861669187_profile&wvr=6&mod=weibotime,
11,15,KOL,Weibo,['#vogue星动态#'],VogueMe,#vogue星动态# 【NINE PERCENT 上海彩排】NINE PERCENT巡演首站上海站彩排花絮来袭！据说此次FAN MEETING TOUR上九人团——@蔡徐坤 、陈立农 @超级農農 、@范丞丞Adam0616 、@jjjustin0219 、@林彦俊 、@THEO-朱正廷 、@王子异 、@小鬼-王琳凯 、@尤长靖 将要表演的8首歌都做了舞台的重新编排，密集专 ​​​​...展开全文c,62059,12985,2475,2018-05-05 14:14,https://www.weibo.com/5861669187/GfeQFipOZ?from=page_1002065861669187_profile&wvr=6&mod=weibotime,
